code,am,ar,bg,bn,ckb,cs,cy,da,de,el,en,es,et,eu,fa,fi,fr,gu,he,hi,ht,hu,hy,id,is,it,ja,ka,km,kn,ko,lo,lt,lv,ml,mr,my,ne,nl,no,or,pa,pl,ps,pt,ro,ru,sd,si,sl,sr,sv,ta,te,th,tl,tr,uk,und,ur,vi,zh
am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
ar,0,81149,0,0,0,0,0,4,0,0,0,0,2,1,7840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,38073,1387,3,0
bg,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,58,0,0,0,0,0,0,7,312,0,0,0
bn,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0
ckb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
cs,0,0,11,0,0,452,47,17,78,1,320,26,47,24,0,29,14,0,0,0,22,19,0,34,6,32,3,0,0,0,0,0,12,9,0,0,0,0,25,18,0,0,33,0,56,29,0,0,0,120,0,22,0,0,0,27,3,0,834,0,16,0
cy,0,0,0,0,0,2,772,20,106,0,360,5,11,16,0,26,27,0,0,0,12,1,0,24,5,27,0,0,0,0,0,0,6,0,0,0,0,0,26,10,0,0,9,0,16,22,0,0,0,3,0,15,0,0,0,14,5,0,263,0,5,0
da,0,0,0,0,0,2,63,828,270,0,509,12,44,22,0,25,37,0,0,0,13,11,0,67,14,40,0,0,0,0,0,0,7,3,0,0,0,0,62,244,0,0,9,0,30,14,0,0,0,32,0,91,0,0,0,52,17,0,1057,0,2,0
de,0,0,0,0,0,6,143,125,7040,0,755,24,60,85,1,51,75,0,0,0,15,13,0,40,22,66,0,0,0,0,0,0,6,12,0,0,0,0,201,109,0,0,37,0,73,38,0,0,0,14,0,118,0,0,0,45,30,1,7473,0,2,0
el,0,0,0,0,0,0,0,0,0,2792,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329,0,0,0
en,0,1,0,0,0,1157,19575,9110,17969,0,654909,1843,5874,1616,0,2431,9307,0,0,0,35950,636,0,4309,689,8403,6,0,0,0,0,0,388,341,0,0,0,0,12496,10206,0,0,2962,0,2898,5330,1,0,0,2036,0,5520,0,0,17,12962,1580,83,571583,0,803,0
es,0,0,0,0,0,254,2095,301,5132,0,6475,178423,4024,2435,0,3104,2782,0,0,0,1186,705,0,1197,120,11805,0,0,0,0,0,0,2143,478,0,0,0,0,2183,401,0,0,175,0,17296,1661,0,0,0,9985,0,207,0,0,2,2112,592,22,224710,0,57,0
et,0,0,0,0,0,6,114,46,337,0,1422,35,1152,77,0,391,75,0,0,0,50,11,0,371,11,117,0,0,0,0,0,0,31,19,0,0,0,0,167,68,0,0,22,0,115,83,0,0,0,70,0,68,0,0,18,316,72,1,4158,0,25,0
eu,0,0,0,0,0,1,27,11,102,0,68,34,62,941,0,84,14,0,0,0,15,19,0,111,16,70,0,0,0,0,0,0,7,8,0,0,0,0,44,26,0,0,13,0,52,61,0,0,0,31,0,9,0,0,8,109,28,4,690,0,3,0
fa,0,120,0,0,0,0,0,0,0,0,0,0,0,0,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,93,0,0
fi,0,0,0,0,0,1,54,10,70,0,194,11,61,21,0,851,18,0,0,0,10,11,0,25,4,51,0,0,0,0,0,0,4,6,0,0,0,0,16,13,0,0,14,0,31,6,0,0,0,10,0,15,0,0,0,32,26,1,1577,0,5,0
fr,0,0,0,0,0,114,499,238,1304,0,2559,411,258,251,0,488,37660,0,0,0,345,68,0,177,25,905,0,0,0,0,0,0,291,226,0,0,0,0,906,201,0,0,31,0,584,619,0,0,0,167,0,112,0,0,1,120,117,8,33794,0,94,0
gu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
he,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0
hi,0,0,0,0,0,4,29,2,35,0,204,2,89,34,0,74,9,0,0,985,50,3,0,182,0,10,0,0,0,0,0,0,6,4,0,63,0,65,77,4,0,0,12,0,7,7,0,0,0,10,0,7,0,0,0,110,27,2,4954,0,9,0
ht,0,0,0,0,0,89,255,43,293,0,975,49,130,82,0,133,255,0,0,0,991,48,0,173,5,192,0,0,0,0,0,0,17,13,0,0,0,0,170,87,0,0,84,0,141,48,0,0,0,117,0,45,0,0,0,326,79,2,1317,0,21,0
hu,0,0,0,0,0,6,40,32,80,0,128,5,34,47,0,21,9,0,0,0,19,496,0,40,4,24,0,0,0,0,0,0,4,3,0,0,0,0,38,39,0,0,9,0,29,15,0,0,0,28,0,23,0,0,0,46,13,0,390,0,2,0
hy,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
id,0,0,0,0,0,57,566,232,1732,0,4579,123,1314,721,2,988,108,0,0,0,781,204,0,32607,94,490,0,0,0,0,0,0,179,112,0,0,0,0,403,458,0,0,287,0,282,477,0,0,0,643,0,332,0,0,1,6423,505,0,71771,0,72,0
is,0,0,0,0,0,0,39,16,66,0,58,6,16,13,0,30,3,0,0,0,14,9,0,12,343,6,0,0,0,0,0,0,3,5,0,0,0,0,26,21,0,0,0,0,16,6,0,0,0,8,0,18,0,0,0,23,6,0,494,0,2,0
it,0,0,0,0,0,8,157,38,333,0,1120,216,121,208,0,169,192,0,0,0,46,20,0,112,23,14331,0,0,0,0,0,0,65,17,0,0,0,0,149,54,0,0,86,0,653,394,0,0,0,102,0,43,0,0,0,285,15,8,12277,0,22,0
ja,0,7,6,0,0,3,85,47,128,59,1967,5,147,220,4,58,10,0,1,0,341,29,0,794,6,134,189960,0,0,1,4268,0,29,3,0,1,0,1,70,265,0,0,81,0,22,70,2,0,0,27,2,49,0,0,40,725,4,28,11307,0,1094,1252
ka,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
